node_id,is_beacon,attack_type,attack_start_s,attack_stop_s,param_offset_m,param_drop_prob
0,1,none,0,0,0,0
1,1,none,0,0,0,0
2,1,A2,30,400,0,0.6
3,0,none,0,0,0,0
4,0,none,0,0,0,0
5,0,none,0,0,0,0
6,0,none,0,0,0,0
7,0,none,0,0,0,0
8,0,none,0,0,0,0
9,0,none,0,0,0,0
10,0,none,0,0,0,0
11,0,none,0,0,0,0
12,0,none,0,0,0,0
13,0,none,0,0,0,0
14,0,none,0,0,0,0
15,0,none,0,0,0,0
16,0,none,0,0,0,0
17,0,none,0,0,0,0
18,0,none,0,0,0,0
19,0,none,0,0,0,0
20,0,none,0,0,0,0
21,0,none,0,0,0,0
22,0,none,0,0,0,0
23,0,none,0,0,0,0
24,0,none,0,0,0,0
