cfg,attack,seed,target,confirmed
G1_direct,none,1,0,False
G1_direct,none,1,1,True
G1_direct,none,1,2,False
G2_direct_indirect,none,1,0,False
G2_direct_indirect,none,1,1,True
G2_direct_indirect,none,1,2,False
G3_all,none,1,0,False
G3_all,none,1,1,True
G3_all,none,1,2,False
G1_direct,none,2,0,False
G1_direct,none,2,1,False
G1_direct,none,2,2,False
G2_direct_indirect,none,2,0,False
G2_direct_indirect,none,2,1,False
G2_direct_indirect,none,2,2,False
G3_all,none,2,0,False
G3_all,none,2,1,False
G3_all,none,2,2,False
G1_direct,none,3,0,False
G1_direct,none,3,1,False
G1_direct,none,3,2,False
G2_direct_indirect,none,3,0,False
G2_direct_indirect,none,3,1,False
G2_direct_indirect,none,3,2,False
G3_all,none,3,0,False
G3_all,none,3,1,False
G3_all,none,3,2,False
G1_direct,none,4,0,False
G1_direct,none,4,1,False
G1_direct,none,4,2,False
G2_direct_indirect,none,4,0,False
G2_direct_indirect,none,4,1,False
G2_direct_indirect,none,4,2,False
G3_all,none,4,0,False
G3_all,none,4,1,False
G3_all,none,4,2,False
G1_direct,none,5,0,False
G1_direct,none,5,1,False
G1_direct,none,5,2,False
G2_direct_indirect,none,5,0,False
G2_direct_indirect,none,5,1,False
G2_direct_indirect,none,5,2,False
G3_all,none,5,0,False
G3_all,none,5,1,False
G3_all,none,5,2,False
G1_direct,A1,1,0,False
G1_direct,A1,1,1,True
G1_direct,A1,1,2,True
G2_direct_indirect,A1,1,0,False
G2_direct_indirect,A1,1,1,True
G2_direct_indirect,A1,1,2,True
G3_all,A1,1,0,False
G3_all,A1,1,1,True
G3_all,A1,1,2,True
G1_direct,A1,2,0,False
G1_direct,A1,2,1,False
G1_direct,A1,2,2,True
G2_direct_indirect,A1,2,0,False
G2_direct_indirect,A1,2,1,False
G2_direct_indirect,A1,2,2,True
G3_all,A1,2,0,False
G3_all,A1,2,1,False
G3_all,A1,2,2,True
G1_direct,A1,3,0,False
G1_direct,A1,3,1,False
G1_direct,A1,3,2,True
G2_direct_indirect,A1,3,0,False
G2_direct_indirect,A1,3,1,False
G2_direct_indirect,A1,3,2,True
G3_all,A1,3,0,False
G3_all,A1,3,1,False
G3_all,A1,3,2,True
G1_direct,A1,4,0,False
G1_direct,A1,4,1,False
G1_direct,A1,4,2,True
G2_direct_indirect,A1,4,0,False
G2_direct_indirect,A1,4,1,False
G2_direct_indirect,A1,4,2,True
G3_all,A1,4,0,False
G3_all,A1,4,1,False
G3_all,A1,4,2,True
G1_direct,A1,5,0,False
G1_direct,A1,5,1,False
G1_direct,A1,5,2,True
G2_direct_indirect,A1,5,0,False
G2_direct_indirect,A1,5,1,False
G2_direct_indirect,A1,5,2,True
G3_all,A1,5,0,False
G3_all,A1,5,1,False
G3_all,A1,5,2,True
G1_direct,A2,1,0,False
G1_direct,A2,1,1,False
G1_direct,A2,1,2,True
G2_direct_indirect,A2,1,0,False
G2_direct_indirect,A2,1,1,False
G2_direct_indirect,A2,1,2,True
G3_all,A2,1,0,False
G3_all,A2,1,1,False
G3_all,A2,1,2,True
G1_direct,A2,2,0,False
G1_direct,A2,2,1,False
G1_direct,A2,2,2,True
G2_direct_indirect,A2,2,0,False
G2_direct_indirect,A2,2,1,False
G2_direct_indirect,A2,2,2,True
G3_all,A2,2,0,False
G3_all,A2,2,1,False
G3_all,A2,2,2,True
G1_direct,A2,3,0,False
G1_direct,A2,3,1,False
G1_direct,A2,3,2,True
G2_direct_indirect,A2,3,0,False
G2_direct_indirect,A2,3,1,False
G2_direct_indirect,A2,3,2,True
G3_all,A2,3,0,False
G3_all,A2,3,1,False
G3_all,A2,3,2,True
G1_direct,A2,4,0,False
G1_direct,A2,4,1,False
G1_direct,A2,4,2,True
G2_direct_indirect,A2,4,0,False
G2_direct_indirect,A2,4,1,False
G2_direct_indirect,A2,4,2,True
G3_all,A2,4,0,False
G3_all,A2,4,1,False
G3_all,A2,4,2,True
G1_direct,A2,5,0,False
G1_direct,A2,5,1,False
G1_direct,A2,5,2,True
G2_direct_indirect,A2,5,0,False
G2_direct_indirect,A2,5,1,False
G2_direct_indirect,A2,5,2,True
G3_all,A2,5,0,False
G3_all,A2,5,1,False
G3_all,A2,5,2,True
G1_direct,A3,1,0,True
G1_direct,A3,1,1,False
G1_direct,A3,1,2,True
G2_direct_indirect,A3,1,0,True
G2_direct_indirect,A3,1,1,False
G2_direct_indirect,A3,1,2,True
G3_all,A3,1,0,True
G3_all,A3,1,1,False
G3_all,A3,1,2,True
G1_direct,A3,2,0,False
G1_direct,A3,2,1,False
G1_direct,A3,2,2,True
G2_direct_indirect,A3,2,0,False
G2_direct_indirect,A3,2,1,False
G2_direct_indirect,A3,2,2,True
G3_all,A3,2,0,False
G3_all,A3,2,1,False
G3_all,A3,2,2,True
G1_direct,A3,3,0,False
G1_direct,A3,3,1,False
G1_direct,A3,3,2,True
G2_direct_indirect,A3,3,0,False
G2_direct_indirect,A3,3,1,False
G2_direct_indirect,A3,3,2,True
G3_all,A3,3,0,False
G3_all,A3,3,1,False
G3_all,A3,3,2,True
G1_direct,A3,4,0,False
G1_direct,A3,4,1,False
G1_direct,A3,4,2,True
G2_direct_indirect,A3,4,0,False
G2_direct_indirect,A3,4,1,False
G2_direct_indirect,A3,4,2,True
G3_all,A3,4,0,False
G3_all,A3,4,1,False
G3_all,A3,4,2,True
G1_direct,A3,5,0,False
G1_direct,A3,5,1,False
G1_direct,A3,5,2,True
G2_direct_indirect,A3,5,0,False
G2_direct_indirect,A3,5,1,False
G2_direct_indirect,A3,5,2,True
G3_all,A3,5,0,False
G3_all,A3,5,1,False
G3_all,A3,5,2,True
