attack,seed,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,isolation_rate,mean_detection_latency_s,baseline_kbps,attack_kbps,recovered_kbps,recovery_ratio,degradation_ratio,recovery_time_s,throughput_debt_kbit,recovered,arm,isolation_s
A1,1,1,1,1,0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,15.0,413.696,379.33817789757404,379.33817789757404,0.9169491073096525,0.9169491073096525,,16715.776000000005,False,C,
A1,1,1,1,1,0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,15.0,370.2784,,386.2077544757033,1.043019939795849,,2.0,6846.054399999997,True,D,10.0
A1,1,1,1,1,0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,15.0,413.696,452.19840000000016,361.2188764044944,0.8731505172989208,1.0930693069306934,145.0,23351.29600000001,True,E,45.0
A1,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,394.0219514824797,394.0219514824797,1.0582702475099262,1.0582702475099262,,6580.223999999998,False,C,
A1,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,344.064,342.00480874316935,0.9185618015353447,0.9240924092409242,5.0,16697.343999999994,True,D,35.0
A1,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,418.3381333333334,354.6261573033708,0.952460414580784,1.123579024569124,0.0,13309.132799999996,True,E,45.0
A1,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,366.1824,347.939191374663,347.939191374663,0.9501799960201883,0.9501799960201883,,10942.873599999992,False,C,
A1,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,407.1424,,362.67338582677166,0.8907777372898811,,2.0,18963.660800000005,True,D,20.0
A1,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,366.1824,332.5951999999999,352.78525842696627,0.9634140210642737,0.9082774049217001,1.0,12608.307199999994,True,E,45.0
A1,4,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,329.3184,293.16761185983825,293.16761185983825,0.8902254227514717,0.8902254227514717,,19742.719999999998,False,C,
A1,4,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,328.4992,,257.8070588235294,0.7848026991345167,,14.0,28087.09119999999,True,D,10.0
A1,4,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,329.3184,319.488,311.10040449438196,0.9446796914304878,0.9701492537313433,78.0,10739.712,True,E,45.0
A1,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,341.1968,355.1044312668463,355.1044312668463,1.0407613180042905,1.0407613180042905,,6938.623999999998,False,C,
A1,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,339.1488,,331.27489361702123,0.9767833281940589,,3.0,10398.924799999999,True,D,25.0
A1,5,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,341.1968,339.1488,341.27964044943815,1.000242793746712,0.9939975990396158,0.0,10092.134399999999,True,E,45.0
A2,1,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,413.696,391.0079137466307,391.0079137466307,0.9451575885351338,0.9451575885351338,,15388.672000000006,False,C,
A2,1,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,370.2784,,305.81720716112534,0.8259115496910577,,2.0,31333.580799999992,True,D,10.0
A2,1,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,413.696,426.80320000000006,348.893965317919,0.8433583242717334,1.0316831683168317,82.0,26038.272000000004,True,E,55.0
A2,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,357.3125175202156,357.3125175202156,0.959675482373035,0.959675482373035,,13271.449599999994,False,C,
A2,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,294.0928,364.59995628415294,0.979248198043848,0.78987898789879,10.0,12250.726399999996,True,D,35.0
A2,2,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,372.3264,335.5989333333333,348.49366292134823,0.9359896663823684,0.9013568023469014,27.0,14779.187199999997,True,E,45.0
A2,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0,366.1824,337.3624582210242,337.3624582210242,0.9212962125460542,0.9212962125460542,,15189.606399999993,False,C,
A2,3,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0,407.1424,,365.31804724409443,0.897273404204756,,2.0,18443.468800000002,True,D,20.0
